gene	X101	X102	X103	X105	X106
ACOXL	0.142260933	1.226735664	0.447414058	0.632121742	0.432268046
ACP1	85.72243792	82.98366448	71.16305144	94.71111115	110.6081679
ACP2	11.23961126	9.285621421	7.605942643	14.26181526	11.81633639
ACP5	18.63029627	13.23410722	19.94409727	23.01427654	21.27159451
ACP6	3.699079977	4.852624981	3.717875324	4.997344448	7.012928762
ACPP	15.32266472	28.00722999	23.15063722	15.07597818	14.03256884
ACPT	0.482955802	0.261290889	0.264393269	0.476860293	0.404865773
ACR	0.0571514	0	0.15051973	0	0.058158056
ACRBP	13.1908955	24.38685958	29.35206096	46.35535115	24.23014357
ACRV1	0.15104347	0.582910764	0	0.148250723	0.153677876
ACSBG1	0.327596533	1.291414669	0.612617648	0.52377413	0.392494654
ACSBG2	0.382842856	0.152199143	0.23062171	0.290467223	0.271369253
ACSF2	10.96537542	8.557631141	8.147659405	7.261070483	8.18663266
ACSF3	13.53548677	18.53366837	13.07584717	15.24594998	17.08520457
ACSL1	319.8410431	306.0837464	610.8263872	696.3669499	438.4401224
ACSL3	18.31406348	18.78367466	19.30533435	20.37428611	19.83895567
ACSL4	68.63970693	59.58952419	69.37300706	66.23056212	52.63033632
ACSL5	42.96815111	49.07425841	36.28432102	43.3580365	45.5895923
ACSL6	4.260897758	7.245960004	5.668314765	5.332006426	7.182662862
ACSM1	1.038630914	0.553668777	0.823367313	0.439703439	0.550692271
ACSM2A	0	0	0	0	0
ACSM2B	0	0	0	0	0
ACSM3	0.924505428	1.753720234	1.291527094	1.074783701	1.03735352
ACSM4	0.027190654	0	0.122533012	0.026586273	0.129186522
ACSM5	0.033792704	0	0	0	0
ACSM6	0.440204964	0	0	0.228758245	0
ACSS1	48.69209039	45.69204593	37.28253647	40.4771585	53.12342572
ACSS2	16.84056013	15.05302124	21.20536416	22.40496978	19.7206056
ACSS3	0.050672112	0.132646067	0.059264604	0.108523232	0.051183398
ACTA1	0.449087826	0.270266005	0.279617995	0.150899472	0.098921348
ACTA2	7.835607614	8.035656392	5.475533635	5.894176554	6.658213585
ACTB	5200.166953	5700.101052	5405.368392	6113.056416	5446.20818
ACTBL2	0	0	0	0	0
ACTC1	0	0	0	0	0
ACTG1	1267.035721	1305.131468	1036.774296	1354.354813	1463.958505
ACTG2	0.089248188	0.054050452	0.055916171	0.041462507	0.04312976
ACTL10	2.614912345	3.140576289	2.113424977	3.689248457	3.014411522
ACTL6A	15.63110413	15.50618424	13.58869827	17.19886643	20.91701266
ACTL6B	0	0	0	0	0.183921157
ACTL7A	0	0	0	0	0
ACTL7B	0	0.067236828	0	0	0
ACTL8	0	0	0	0	0
ACTL9	0.071783367	0.0877019	0	0	0.13813477
ACTN1	121.2284206	176.3614125	228.4846045	161.9143286	125.6269553
ACTN2	0.023618696	0	0.061551051	0	0.024031571
ACTN3	0.44070776	0.229441458	0.301712666	0.861627203	0.39650251
ACTN4	187.0701263	178.9860689	138.5212876	138.9680377	143.5067145
ACTR10	27.39616894	28.41684775	35.91114825	32.81613639	35.28706038
ACTR1A	101.2861219	90.88432802	90.58771014	102.0150828	105.6475817
ACTR1B	53.63174115	49.07937484	44.7576855	58.63477686	71.97305792
ACTR2	595.2016097	525.5204097	697.0829419	437.08383	495.5603752
ACTR3	372.8927384	387.2840444	461.338241	328.4416845	365.246633
ACTR3B	6.176913205	6.075522593	7.937138204	7.10029425	6.549466829
ACTR3C	3.226808138	3.195936413	1.854735735	2.316350288	2.768723995
ACTR5	10.75109265	9.869110157	6.772566184	8.986684978	11.36906631
ACTR6	14.58540158	14.43149523	11.26591356	15.14130172	19.40455823
ACTR8	17.29691863	13.69653267	13.55178624	11.38111791	13.79631424
ACTRT1	0	0	0	0	0
ACTRT2	0	0	0	0	0
ACTRT3	0.329716513	0.102028934	0.286291399	0.152803163	0.085329631
ACVR1	10.12508639	8.458515042	9.816827753	10.9053093	10.76654922
ACVR1B	12.77819663	13.26907259	14.78889284	18.16591046	13.78059972
ACVR1C	1.537007349	2.592851659	3.28945779	2.132800579	3.334062695
ACVR2A	9.121114791	9.068981381	9.387243617	9.916005821	12.54250483
ACVR2B	8.341075231	8.824657716	7.36044799	7.122910989	9.391564451
ACVRL1	0.899223731	0.305968891	0.720335834	1.658699159	1.316012184
ACY1	0.081474389	0.271835594	0.049991317	0.07984761	0.128284334
ACY3	0.341281689	0.299421534	0.096140929	0.893690814	1.286145081
ACYP1	13.48035439	11.44496869	12.48238725	21.34969958	23.00696664
ACYP2	5.713382529	5.631331426	4.046713925	7.941421859	7.545248398
ADA	25.77198113	21.8560937	18.61861332	26.26174809	29.54421301
ADAD1	0	0	0	0	0
ADAD2	0	0.033164747	0	0.026068143	0.027008253
ADAL	3.917088696	3.433726996	2.863600409	4.018591244	4.3276079
ADAM10	122.6408003	104.2843957	106.9198018	95.8314864	98.5687862
ADAM11	0.612122873	0.395920726	0.44580376	0.354014254	0.537824706
ADAM12	1.842384755	1.606844282	2.160444151	1.134802833	2.071593012
ADAM15	26.87341405	18.25573895	17.26529347	25.75496156	21.38889237
ADAM17	29.09221094	24.33329996	26.8406126	26.60547623	27.06066658
ADAM18	0	0	0	0	0
ADAM19	50.82431829	35.99701154	74.76144805	65.14615775	74.33716579
ADAM2	0	0	0	0	0
ADAM20	0.474605325	0.186145773	0.321572228	0.466494928	0.113927352
ADAM21	0.09996109	0.17450365	0.124425462	0	0.144489431
ADAM22	4.732262476	4.462731248	3.518788999	2.913529907	4.692110901
ADAM23	0.245598784	0.343735245	2.227679426	0.368875201	2.285000204
ADAM28	11.39072911	9.598254631	12.07901927	15.78072509	21.43111813
ADAM29	0	0.085637364	0	0.016533918	0.01741623
ADAM30	0	0	0	0	0.057253675
ADAM32	0	0	0	0.201403789	0.14559164
ADAM33	0.200337472	0.253469629	0.097949056	0.030593356	0.096390083
ADAM7	0	0	0	0	0
ADAM8	266.8893165	375.8324969	336.055879	335.415064	451.2048882
ADAM9	8.654440597	7.481084425	8.298792501	13.5019662	6.157960872
ADAMDEC1	0.377065983	0.313375874	0.32349349	1.239805638	0.872493783
ADAMTS1	4.715791682	1.143747001	1.140808609	1.524864029	3.905155467
ADAMTS10	29.90360289	9.338091622	9.57631765	8.84331629	13.22910559
ADAMTS12	0	0	0.017811378	0	0
ADAMTS13	0.713957872	0.482552141	0.300074091	0.422719263	0.737207553
ADAMTS14	0.760694188	0.550696841	0.076246851	0.128520387	0.310446082
ADAMTS15	0	0	0	0	0
ADAMTS16	0.01943227	0.02383644	0.024537028	0.07121495	0.019736058
ADAMTS17	0.467870851	1.020586383	0.919587809	0.615800342	0.840033238
ADAMTS18	0	0	0	0	0.029587569
ADAMTS19	0	0.04345981	0	0	0
ADAMTS2	0	0	0	0.033637431	0
ADAMTS20	0	0	0	0	0
ADAMTS3	0.053212663	0	0	0	0
ADAMTS4	0.398215664	0.469650259	0.352823174	0.25133464	0.612477848
ADAMTS5	0.85674809	0.285499977	1.170574534	0.196234383	0.594023512
ADAMTS6	0.616285072	0.504689411	1.297242966	1.107773367	1.008083092
ADAMTS7	0.053884762	0.026619185	0.075208542	0	0.036604901
ADAMTS8	0.171864203	0.082453618	0.057962147	0.086139487	0.2394968
ADAMTS9	0	0.030384178	0	0	0
ADAMTSL1	0	0	0	0	0.028486578
ADAMTSL2	0.019338669	0.155002182	0	0.019020359	0.055064021
ADAMTSL3	0.062888597	0.020005728	0.040663263	0.031063743	0.032169889
ADAMTSL4	67.52865605	64.25656176	59.2236782	82.4523096	57.16961298
ADAMTSL5	3.446032516	2.701493495	0.901959328	3.578502998	2.553731753
ADAP1	69.32933175	50.55898406	50.89750177	75.52130722	73.26152005
ADAP2	19.33470808	9.812928411	15.35391351	24.73912158	14.07294014
ADAR	234.1272351	430.8487247	303.6734144	389.3053568	223.6396173
ADARB1	23.48352021	22.91368264	19.83091474	23.10439345	26.97807294
ADARB2	0.220311898	2.437002132	4.110872183	1.57118016	0.3612103
ADAT1	25.43871017	22.98443786	22.60823471	16.20455817	19.18847818
ADAT2	32.4857922	40.90746719	28.6849537	31.95271589	50.12967564
ADAT3	5.917601447	4.027129229	1.791283126	3.146209843	4.210993108
ADCK1	5.015467249	3.362960046	3.509768269	3.427209283	4.569371766
ADCK2	11.05052126	7.467085601	6.938866405	9.121339373	9.371900949
ADCK5	7.148509625	5.924146297	5.286229829	9.733859536	10.5184122
ADCY1	0.213611974	0.122291603	0.146738247	0.14236655	0.216327333
ADCY10	0.226671133	0.140521765	0.359260823	0.116605823	0.137881366
ADCY2	0	0	0	0	0
ADCY3	4.127769583	5.313068408	5.040712332	4.631315583	6.587669703
ADCY4	4.385082664	6.083502809	5.411119481	7.358327475	5.944691401
ADCY5	0.372280977	0.303977899	0.276654239	0.337132712	0.378758304
ADCY6	0.191791476	0.326783578	0.214473028	0.224693498	0.293805781
ADCY7	175.7265451	159.0229519	127.6511936	138.1322004	153.0895263
ADCY8	0	0	0	0	0
ADCY9	15.27016948	9.477310084	6.275447265	5.432537231	8.074858207
ADCYAP1	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0
ADD1	124.3641019	117.5280382	115.0158519	119.3114206	139.6877935
ADD2	2.439789443	0.708826648	1.858930779	1.358603789	1.80382727
ADD3	145.3047089	131.5184045	139.8403727	171.4860094	194.4686166
ADGB	0.018567846	0.036544598	0.022038522	0.030102902	0.055394143
ADH1A	0.097155543	0	0.118826113	0	0
ADH1B	0	0	0	0	0
ADH1C	0	0	0	0	0
ADH4	0.139078511	0	0	0	0
ADH5	36.5217053	36.22772328	35.42885074	36.95710187	45.34744505
ADH6	0.306379701	0.259038608	0.450515905	0.301167012	0.505040464
ADH7	0	0	0	0	0
ADHFE1	15.09548583	15.98487361	9.363890664	19.62817638	23.04240051
ADI1	52.45817373	63.3537739	67.07508655	60.30249808	63.31759417
ADIG	0.262701067	0	0	0	0
ADIPOQ	0	0	0	0	0
ADIPOR1	148.9096429	137.881408	176.6048064	154.0669327	135.1626069
ADIPOR2	82.91069066	70.98772242	64.86286263	59.67847765	73.14528471
ADIRF	1.038862667	4.623137819	1.97249686	3.331637287	6.488848098
ADK	16.99851808	12.76695122	10.15162308	21.0207184	20.93864785
ADM	96.29868576	78.3841186	146.5738413	126.5189788	80.39711957
ADM2	2.713037267	3.756361399	3.59433794	3.429590861	4.379412373
ADM5	10.57746613	7.663100622	6.683361592	4.108735814	7.360608396
ADNP	41.13497625	34.49777901	37.52499509	31.53242055	37.19273354
ADNP2	3.032574741	3.415435339	1.996533619	2.075861906	2.371450303
ADO	28.35282995	28.69609889	17.55197637	24.50409591	27.02413401
ADORA1	0.058464618	0.145350051	0.455016215	0.057409392	0.237065096
ADORA2A	0.664732634	1.04022535	0.543945178	0.552472558	0.781175902
ADORA2B	2.222984442	1.76640906	3.926658155	3.232042276	2.261614852
ADORA3	4.372705655	5.634527107	4.288483844	4.302035931	3.656347396
ADPGK	76.31403423	74.69790502	70.55608595	85.51191381	89.50977359
ADPRH	13.10475726	11.16444363	10.13441219	13.02880703	10.57705105
ADPRHL1	0.230099238	0.186139526	0.086540801	0.054704843	0.139731991
ADPRHL2	19.83166638	24.29569897	22.19993021	27.45100508	28.49720788
ADPRM	6.997810368	8.893156899	10.03209268	8.577512379	10.33042086
ADRA1A	0	0	0.043492371	0.03168817	0.033049716
ADRA1B	0	0	0	0	0
ADRA1D	0	0	0	0	0
ADRA2A	0.41923856	0.613732678	0.749793845	2.447589034	1.281523164
ADRA2B	0.454343469	0.157701251	0.226652716	0	0.097507886
ADRA2C	0	0	0	0	0
ADRB1	2.046744934	0.21048397	0.060992626	0.358778236	0.204404462
ADRB2	61.03893533	57.88263147	19.60007819	20.70596504	28.03881361
ADRB3	0	0	0	0	0
ADRM1	54.61386926	53.85033975	45.6293618	54.29133934	60.5056665
ADSL	21.90519215	20.14739138	18.83562429	25.39870121	28.05197628
ADSS	44.51273015	44.94117059	42.21151286	49.19133602	53.65626819
ADSSL1	0.674443463	0.491101739	0.321389243	0.733498214	0.876148443
ADTRP	0.455506444	4.341569539	4.397437297	1.571025938	3.161648738
AEBP1	1.599807486	2.684312249	2.207706354	1.903088645	2.505847553
AEBP2	31.6764596	28.07577616	20.32630579	17.35762765	21.18776017
AEN	20.93417323	19.64067666	11.9560644	16.93465915	16.98323944
AES	563.4480717	515.9776025	362.1859213	466.6919948	625.7528094
AFAP1	6.187026837	4.544020339	8.156107482	1.685822293	4.502332058
AFAP1L1	0.142772592	0.133899497	0	0	0.109147858
AFAP1L2	1.286253042	1.515477928	1.19753323	2.646422417	2.139269779
AFF1	62.05880285	65.99965761	65.03967097	61.42033305	49.59894236
AFF2	1.492332001	2.121557398	2.356785068	1.310777888	2.111600862
AFF3	4.387998963	2.527656965	5.490274464	5.8528283	6.499300123
AFF4	45.07694397	48.09272635	49.60400305	32.43734432	35.98925243
AFG3L2	13.14970035	12.4089283	9.89363233	13.29616022	14.78113611
AFM	0	0	0	0	0
AFMID	6.723913531	4.256459597	4.520975093	9.12836213	10.11346844
AFP	0	0	0	0	0
AFTPH	39.18595056	41.54825447	49.31589398	36.2637196	34.90154051
AGA	17.51550066	18.4699242	13.5057475	16.88421587	24.38616949
AGAP1	8.477269469	3.391212269	2.710260781	3.970694511	6.781019932
AGAP2	25.27325675	25.88851278	22.26694648	25.01402406	28.32917111
AGAP3	14.58337791	10.81588352	11.74593121	16.34462513	12.7897694
AGAP4	7.069267651	6.147595198	8.605366071	8.245815016	7.992392931
AGAP5	3.650793866	5.152898634	4.515349577	5.158616844	7.599721733
AGAP6	16.37964914	15.9957992	13.67633073	17.33895945	21.2151383
AGAP9	0.695386259	0.108212968	0.241474207	0.236545085	0.501536264
AGBL1	0	0	0	0	0
AGBL2	0.810780567	1.24918384	1.208224042	1.383505646	1.930652974
AGBL3	0.543128012	0.578491657	0.354918032	0.488191887	0.503981466
AGBL4	0	0	0	0	0
AGBL5	5.809201315	6.223184553	5.908954844	7.177751164	8.111989398
AGER	0	0	0	0	0
AGFG1	59.43931424	50.93388847	59.38466608	55.22475836	52.31703509
AGFG2	27.04421844	25.21229506	17.66333228	19.46722016	26.24461424
AGGF1	18.87722825	20.04743452	18.57064972	20.1563194	23.88577553
AGK	28.80969786	27.39687144	21.93210044	27.50557094	32.2665994
AGL	9.390506017	9.024050829	9.234796273	6.613891432	10.11533709
AGMAT	2.89931018	5.289127527	4.168391549	5.081921309	6.289827207
AGMO	0	0.178229733	0.071603233	0.185902129	0.50793659
AGO1	45.4011277	32.60893503	39.03567766	28.50130746	35.25897505
AGO2	23.1119842	27.20264806	32.42169529	16.74416382	19.03999712
AGO3	13.69550106	13.61678704	15.37432141	7.502556794	9.827350666
AGO4	90.83914869	112.8704925	155.0986698	120.8957303	118.4461342
AGPAT1	4.57181708	5.301723336	4.447373029	0	3.595932345
AGPAT2	27.53735236	25.47926068	25.54808167	47.68642685	32.9905549
AGPAT3	91.43230044	68.40977339	58.54010658	71.29830905	67.39068515
AGPAT4	48.25232269	27.88676785	24.2371058	24.17120972	41.99769462
AGPAT5	12.39680524	12.35745816	17.38408218	16.38495083	22.54684968
AGPS	28.39116936	24.91788078	21.48083068	19.69689867	23.29833606
AGR2	0	0	0	0.314673956	0
AGR3	0	0	0	0	0
AGRN	2.009010954	10.26721932	1.308663308	11.50352922	2.307620676
AGRP	1.752115771	2.061574311	0	2.134330657	2.193266841
AGT	0	0	0	0	0
AGTPBP1	44.6229576	42.18938251	57.88716409	46.48572772	49.23356828
AGTR1	0	0	0	0	0
AGTR2	0	0	0	0	0
AGTRAP	185.353173	219.1814529	209.8790936	353.8145895	237.7221003
AGXT	0	0	0	0	0
AGXT2	0	0	0	0	0
AHCTF1	23.12490397	31.91028244	43.07175567	18.73668968	23.80076563
AHCY	16.35918964	11.651186	12.80921638	17.54780018	16.77911862
AHCYL1	55.15089851	46.1007733	50.47669855	42.00970476	50.78348273
AHCYL2	16.8836083	14.0302254	14.78460126	11.00924435	14.63321222
AHDC1	7.458066027	4.914257679	3.427322956	3.567218974	4.268152764
AHI1	0.992795219	1.629615514	2.472490054	2.893130732	3.537911744
AHNAK	316.7374615	261.9964913	277.2481683	177.9155898	286.120597
AHNAK2	0.142935167	0.12811658	0.240791948	0.07902298	0.155912884
AHR	26.55569397	23.26827485	37.45154706	18.13368415	19.85045984
AHRR	0.982174767	0.748613708	0.76997884	0.621609886	3.237542654
AHSA1	62.16567553	53.70086852	54.75633403	40.22743575	46.85667868
AHSA2	369.641779	365.3341662	264.2874159	357.580676	452.4826057
AHSG	0	0	0	0	0
AHSP	5.210762581	2.20260509	0	2.286498264	0.66895631
AICDA	0.312488252	0.158658541	0.959122532	0.480623091	0.946030674
